MAP;ARG1;ARG2;Max Capacity;Vertices(n);Edges(m);BFS Calls(I);Augment Calls;Max Flow;Elapsed Time(s);#BFS Operations;AVG BFS Operations;Std Dev BFS Operations;C;r;s;t;uI
1;2;2;100;6;8;5;4;395;1.601e-05;21;4.2;1.16619;0.5;0.166667;0.633333;0.105;1
1;2;2;1000;6;8;5;4;4095;1.163e-05;21;4.2;1.16619;0.5;0.166667;0.633333;0.105;1
1;2;2;10000;6;8;5;4;36095;1.152e-05;21;4.2;1.16619;0.5;0.166667;0.633333;0.105;1
1;2;2;100000;6;8;5;4;336095;1.139e-05;21;4.2;1.16619;0.5;0.166667;0.633333;0.105;1
1;2;4;100;10;16;9;8;238;2.554e-05;76;8.44444;1.25708;0.5;0.1;0.777778;0.058642;1
1;2;4;1000;10;16;9;8;2343;3.116e-05;75;8.33333;1.56347;0.5;0.1;0.755556;0.0578704;1
1;2;4;10000;10;16;7;6;9838;2.024e-05;58;8.28571;1.38505;0.375;0.075;0.757143;0.0739796;1
1;2;4;100000;10;16;9;8;239952;2.642e-05;74;8.22222;1.87248;0.5;0.1;0.744444;0.0570988;1
1;2;8;100;18;32;18;17;238;7.3691e-05;290;16.1111;2.72619;0.53125;0.0590278;0.839506;0.0279707;1
1;2;8;1000;18;32;11;10;1088;4.78e-05;180;16.3636;1.72008;0.3125;0.0347222;0.858586;0.0464876;1
1;2;8;10000;18;32;11;10;9838;4.689e-05;175;15.9091;3.44976;0.3125;0.0347222;0.838384;0.0451963;1
1;2;8;100000;18;32;15;14;207130;6.297e-05;247;16.4667;1.99555;0.4375;0.0486111;0.866667;0.0343056;1
1;2;16;100;34;64;29;28;188;0.00021676;944;32.5517;2.01008;0.453125;0.0266544;0.925963;0.0175386;0.965517
1;2;16;1000;34;64;20;19;1088;0.00014913;638;31.9;4.79479;0.296875;0.0174632;0.911765;0.0249219;1
1;2;16;10000;34;64;20;19;9838;0.00014854;632;31.6;6.10246;0.296875;0.0174632;0.902941;0.0246875;1
1;2;16;100000;34;64;25;24;174134;0.000224861;805;32.2;2.33238;0.375;0.0220588;0.92;0.020125;1
